card_number,word,part_of_speech,definition,sample_sentence,synonyms_top_3,antonyms_top_3,root
38,Abhor,verb,To hate intensely.,She abhorred cruelty in any form.,"detest, loathe, despise","admire, love, cherish","Latin ab-, away + horrere, shudder."
39,Appease,verb,To calm someone by satisfying demands or concerns.,The manager tried to appease the angry customers with refunds.,"placate, pacify, mollify","provoke, aggravate, inflame","Old French apaisier, bring to peace."
40,Disaffected,adjective,Dissatisfied and no longer loyal.,Disaffected voters demanded a change in leadership.,"alienated, disgruntled, discontented","loyal, contented, satisfied","Latin dis-, apart + affectus, disposed."
41,Tortuous,adjective,"Twisting, winding, or overly complicated.",The hikers followed a tortuous path through the canyon.,"winding, convoluted, circuitous","straight, direct, simple","Latin tortus, twisted."
42,Strident,adjective,"Loud, harsh, and forceful.",A strident alarm sounded throughout the building.,"harsh, shrill, grating","soft, gentle, soothing","Latin stridere, creak or make a harsh sound."
43,Sporadic,adjective,Occurring irregularly or only now and then.,Sporadic rain delayed the match several times.,"intermittent, occasional, scattered","constant, regular, continuous","Greek sporadikos, scattered."
44,Assail,verb,To attack physically or verbally.,Critics assailed the proposal as too expensive.,"attack, assault, bombard","defend, protect, praise","Latin assalire, leap upon."
45,Brusque,adjective,Abrupt or blunt in manner.,His brusque reply made the conversation feel tense.,"abrupt, curt, blunt","courteous, tactful, gracious","Italian brusco, sharp or rough."
46,Deft,adjective,Skillful and quick in movement or thought.,"With a deft turn of the wrist, she repaired the clasp.","skillful, nimble, adept","clumsy, inept, awkward","Old English gedaf, fit or skillful."
47,Banal,adjective,So ordinary that it is boring or unoriginal.,The speech was filled with banal slogans.,"trite, hackneyed, commonplace","original, fresh, novel","Old French ban, public proclamation; common use."
48,Eccentric,adjective,Unconventional or oddly different.,The inventor had an eccentric habit of sketching ideas on napkins.,"unconventional, quirky, peculiar","conventional, ordinary, normal","Greek ek-, out + kentron, center."
49,Vicissitude,noun,"A change in circumstances, often difficult or unwelcome.",The family endured the vicissitudes of war and migration.,"fluctuation, change, variation","stability, constancy, sameness","Latin vicis, change or turn."
50,Tentative,adjective,"Not final, certain, or fully confident.",We made a tentative plan to meet after lunch.,"provisional, hesitant, uncertain","definite, certain, final","Latin tentare, try or test."
51,Taciturn,adjective,Habitually quiet or reserved.,The taciturn guard answered with only a nod.,"reserved, silent, reticent","talkative, chatty, loquacious","Latin tacitus, silent."
52,Acumen,noun,Sharp judgment or practical insight.,Her financial acumen helped the company survive.,"insight, shrewdness, discernment","ignorance, stupidity, naivete","Latin acuere, sharpen."
53,Antecedent,noun,A thing or event that came before another.,The historian traced the antecedent of the modern law.,"precursor, predecessor, forerunner","consequence, result, successor","Latin ante, before + cedere, go."
54,Austere,adjective,"Plain, strict, or severe in style or manner.","The room was austere, with only a bed and a desk.","stern, severe, plain","lavish, ornate, indulgent","Greek austeros, harsh or severe."
55,Capacious,adjective,Able to hold a lot; roomy.,The capacious suitcase fit all of her clothes.,"roomy, spacious, ample","cramped, small, confined","Latin capax, able to hold."
56,Ephemeral,adjective,Lasting for a very short time.,The artist captured the ephemeral beauty of morning fog.,"fleeting, transitory, brief","permanent, lasting, enduring","Greek epi, for + hemera, day."
57,Spurious,adjective,"False, fake, or not genuine.",The website spread spurious claims about the medicine.,"false, bogus, counterfeit","genuine, authentic, valid","Latin spurius, illegitimate or false."
58,Tumultuous,adjective,"Noisy, disorderly, or turbulent.",The crowd gave a tumultuous welcome after the final goal.,"turbulent, chaotic, stormy","calm, orderly, peaceful","Latin tumultus, commotion."
59,Tractable,adjective,"Easy to manage, control, or deal with.",The problem became tractable after we divided it into steps.,"manageable, compliant, docile","stubborn, unruly, intractable","Latin tractare, handle."
60,Auspicious,adjective,Favorable and suggesting future success.,Clear skies were an auspicious sign for the outdoor ceremony.,"favorable, promising, propitious","ominous, unfavorable, inauspicious","Latin avis, bird + specere, look; omen reading."
61,Aberration,noun,A departure from what is normal or expected.,"The sudden drop in sales was an aberration, not a trend.","anomaly, deviation, oddity","norm, standard, regularity","Latin aberrare, wander away."
62,Abate,verb,To become less intense or severe.,The storm began to abate after midnight.,"lessen, subside, diminish","intensify, increase, escalate","Old French abatre, beat down."
63,Congenial,adjective,"Pleasant, friendly, or well suited.",The cafe provided a congenial place to study.,"pleasant, agreeable, compatible","unpleasant, disagreeable, incompatible","Latin con-, with + genius, nature or spirit."
64,Fatuous,adjective,"Foolish, silly, or lacking sense.",The committee rejected the fatuous suggestion immediately.,"foolish, silly, vacuous","wise, sensible, thoughtful","Latin fatuus, foolish."
65,Temerity,noun,Reckless boldness or nerve.,He had the temerity to interrupt the judge.,"audacity, rashness, nerve","caution, humility, prudence","Latin temere, rashly."
66,Scrupulous,adjective,"Careful, thorough, and guided by principle.",The accountant was scrupulous about every receipt.,"conscientious, meticulous, principled","careless, dishonest, unscrupulous","Latin scrupulus, small sharp stone; uneasy care."
67,Vindicate,verb,To clear from blame or prove right.,The new evidence helped vindicate the accused scientist.,"justify, exonerate, defend","condemn, blame, incriminate","Latin vindicare, claim or avenge."
68,Amiable,adjective,Friendly and pleasant.,Our amiable neighbor welcomed everyone to the block party.,"friendly, genial, affable","hostile, unfriendly, disagreeable","Latin amare, love."
69,Diffident,adjective,Shy or lacking self-confidence.,The diffident speaker grew calmer after the first question.,"shy, timid, hesitant","confident, bold, assertive","Latin dis-, away + fidere, trust."
70,Deleterious,adjective,Harmful or damaging.,The chemical had a deleterious effect on the river.,"harmful, damaging, injurious","beneficial, helpful, wholesome","Greek deleterios, harmful."
71,Despondent,adjective,Very discouraged or without hope.,She felt despondent after several failed interviews.,"dejected, hopeless, gloomy","hopeful, cheerful, encouraged","Latin de-, down + spondere, promise."
72,Ignominious,adjective,Shameful or humiliating.,The team suffered an ignominious defeat in the final match.,"shameful, disgraceful, humiliating","honorable, glorious, respectable","Latin in-, not + nomen, name; bad name."
73,Transient,adjective,Lasting only a short time.,The pain was transient and faded within minutes.,"brief, temporary, fleeting","permanent, enduring, lasting","Latin transire, go across."
74,Superfluous,adjective,More than needed; unnecessary.,The editor removed several superfluous paragraphs.,"unnecessary, redundant, excessive","necessary, essential, required","Latin super-, over + fluere, flow."
75,Spurn,verb,To reject with disdain.,She spurned the offer because it ignored her main concern.,"reject, rebuff, scorn","accept, welcome, embrace","Old English spurnan, kick."
76,Zealous,adjective,Passionate and enthusiastic about a cause.,The zealous volunteers arrived before sunrise.,"ardent, fervent, enthusiastic","apathetic, indifferent, lukewarm","Greek zelos, ardor or zeal."
77,Corroborate,verb,To confirm or support with evidence.,Two witnesses corroborated the driver's account.,"confirm, verify, substantiate","refute, contradict, disprove","Latin com-, together + robur, strength."
78,Confluence,noun,A coming or flowing together; a meeting point.,The city grew at the confluence of two rivers.,"convergence, junction, meeting","divergence, separation, split","Latin con-, together + fluere, flow."
79,Accost,verb,To approach and address boldly or aggressively.,A reporter accosted the mayor outside city hall.,"approach, confront, address","avoid, ignore, evade","Latin ad-, to + costa, side."
80,Incredulous,adjective,Unwilling or unable to believe something.,She gave him an incredulous look after the excuse.,"skeptical, doubtful, disbelieving","credulous, trusting, convinced","Latin in-, not + credere, believe."
81,Wrought,adjective,"Made, shaped, or formed with effort.",The gate was wrought from black iron.,"fashioned, shaped, formed","unmade, raw, unformed","Old English wyrcan, work."
82,Torpor,noun,"A state of inactivity, dullness, or lethargy.",The heat left the village in a state of torpor.,"lethargy, sluggishness, apathy","vigor, energy, activity","Latin torpere, be numb or sluggish."
83,Tenable,adjective,Able to be defended as reasonable or valid.,Her argument was tenable because it rested on solid data.,"defensible, plausible, supportable","untenable, indefensible, implausible","Latin tenere, hold."
84,Trepidation,noun,Fear or nervous anticipation.,He opened the exam results with trepidation.,"anxiety, apprehension, fear","confidence, calm, assurance","Latin trepidare, tremble."
85,Capitulate,verb,To surrender or give in.,"After weeks of pressure, the company chose to capitulate.","surrender, yield, submit","resist, withstand, defy","Latin capitulum, little head or chapter."
86,Candid,adjective,"Truthful, frank, and direct.",The coach gave a candid assessment of the team's weaknesses.,"frank, honest, open","guarded, dishonest, evasive","Latin candidus, white or bright."
87,Arid,adjective,Very dry; lacking life or interest.,Few plants can survive in the arid desert basin.,"dry, barren, parched","moist, fertile, lush","Latin aridus, dry."
88,Lucid,adjective,"Clear, coherent, and easy to understand.",Her lucid explanation made the difficult chapter manageable.,"clear, coherent, intelligible","confused, obscure, muddled","Latin lucidus, bright or clear."
89,Bombard,verb,To attack or overwhelm with many things at once.,Reporters bombarded the actor with questions.,"attack, pelt, overwhelm","protect, shield, spare","Medieval Latin bombarda, cannon."
90,Commensurate,adjective,"Corresponding in size, amount, or degree.",The bonus should be commensurate with the extra work.,"proportional, equivalent, corresponding","disproportionate, unequal, mismatched","Latin com-, together + mensura, measure."
91,Debase,verb,"To lower in value, quality, or dignity.",The forged coins debased the currency.,"degrade, cheapen, corrupt","elevate, improve, ennoble","de-, down + base, lower part."
92,Ebullient,adjective,"Cheerful, energetic, and full of enthusiasm.",The ebullient host made every guest feel welcome.,"exuberant, buoyant, enthusiastic","gloomy, subdued, depressed","Latin e-, out + bullire, boil."
93,Bashful,adjective,Shy and easily embarrassed.,The bashful child hid behind his father.,"shy, timid, sheepish","confident, bold, outgoing","Abash + -ful; from Old French esbahir, astonish."
94,Balk,verb,To refuse or hesitate to proceed.,Investors may balk at the high price.,"resist, refuse, hesitate","comply, proceed, accept","Old English balca, ridge or barrier."
95,Belligerent,adjective,"Hostile, aggressive, or ready to fight.",The belligerent customer shouted at the clerk.,"hostile, aggressive, combative","peaceful, friendly, conciliatory","Latin bellum, war + gerere, wage."
96,Efface,verb,"To erase, remove, or make less noticeable.",Rain began to efface the chalk marks on the sidewalk.,"erase, obliterate, wipe out","preserve, restore, highlight","French effacer; ex-, out + face, face."
97,Circuitous,adjective,"Indirect, roundabout, or winding.",We took a circuitous route to avoid the traffic.,"indirect, roundabout, winding","direct, straight, straightforward","Latin circuitus, going around."
98,Dastardly,adjective,Wicked and cowardly.,The villain made a dastardly plan to blame an innocent person.,"cowardly, villainous, treacherous","brave, noble, honorable","Middle English dastard, coward."
99,Discord,noun,Disagreement or lack of harmony.,The budget cuts caused discord among the departments.,"conflict, disagreement, strife","harmony, agreement, concord","Latin dis-, apart + cor, heart."
100,Abscond,verb,"To leave secretly or suddenly, often to avoid capture.",The cashier tried to abscond with the stolen money.,"flee, escape, decamp","remain, stay, surrender","Latin abs-, away + condere, hide."
101,Arbitrary,adjective,Based on whim rather than reason or rule.,The students complained that the deadline felt arbitrary.,"random, capricious, whimsical","reasoned, systematic, justified","Latin arbiter, judge."
102,Apathetic,adjective,"Showing little interest, concern, or emotion.",The apathetic audience barely reacted to the announcement.,"indifferent, uninterested, listless","interested, passionate, concerned","Greek a-, without + pathos, feeling."
103,Capricious,adjective,Changing suddenly and unpredictably.,The capricious weather forced us to change plans twice.,"fickle, whimsical, erratic","steady, consistent, predictable","Italian capriccio, whim."
104,Esoteric,adjective,"Understood by only a small, specialized group.",The article used esoteric terms from quantum theory.,"obscure, abstruse, arcane","common, accessible, familiar","Greek esoterikos, inner."
105,Alacrity,noun,Cheerful readiness or eagerness.,She accepted the challenge with alacrity.,"eagerness, promptness, readiness","reluctance, hesitation, apathy","Latin alacer, lively or eager."
106,Assiduous,adjective,"Diligent, careful, and persistent.",His assiduous practice improved his piano playing quickly.,"diligent, industrious, persistent","lazy, careless, negligent","Latin assiduus, sitting close; constant."
107,Berate,verb,To scold or criticize angrily.,The coach did not berate the players after the loss.,"scold, rebuke, reprimand","praise, commend, compliment","be- + rate, scold or chide."
108,Circumspect,adjective,Careful and cautious before acting.,A circumspect investor studies the risks first.,"cautious, prudent, wary","reckless, careless, rash","Latin circum, around + specere, look."
109,Dearth,noun,A scarcity or lack of something.,The rural clinic faced a dearth of nurses.,"scarcity, shortage, paucity","abundance, surplus, plenty","Old English deore, dear or scarce."
110,Dour,adjective,"Stern, gloomy, or severe.",The dour expression on his face softened when he smiled.,"stern, gloomy, sullen","cheerful, pleasant, genial","Latin durus, hard; also Scots dour, stern."
111,Credulity,noun,A tendency to believe things too readily.,The scammer took advantage of the victim's credulity.,"gullibility, naivete, trustfulness","skepticism, distrust, suspicion","Latin credere, believe."
112,Forestall,verb,To prevent by acting ahead of time.,The company recalled the product to forestall complaints.,"prevent, thwart, preempt","allow, permit, encourage","Old English fore, before + steall, place."
113,Deluge,noun,A great flood or overwhelming rush of something.,A deluge of emails arrived after the announcement.,"flood, torrent, overflow","trickle, drought, scarcity","Latin diluvium, flood; from diluere, wash away."
114,Arraign,verb,To formally accuse or call someone to answer in court.,The suspect was arraigned the morning after the arrest.,"charge, indict, accuse","acquit, absolve, exonerate","Old French araisnier, call to account."
115,Strenuous,adjective,vigorous; marked by energy and stamina,The strenuous hike left everyone exhausted but proud.,"difficult, arduous, tough","effortless, easy, simple","Latin strenuus, active or brisk."
116,Affluent,adjective,Wealthy or having plenty of resources.,The affluent suburb had large homes and private gardens.,"wealthy, prosperous, rich","poor, needy, impoverished","Latin ad-, to + fluere, flow."
117,Commemorate,verb,To honor or remember an important person or event.,The town held a ceremony to commemorate the victory.,"honor, memorialize, celebrate","forget, ignore, neglect","Latin com-, together + memor, mindful."
118,Infernal,adjective,"Hellish, extremely annoying, or very unpleasant.",The infernal noise from the drill continued all morning.,"hellish, awful, fiendish","heavenly, pleasant, delightful","Latin infernus, lower or hellish."
119,Olfactory,adjective,Related to the sense of smell.,The chef relied on olfactory clues to judge the stew.,"scent-related, smelling, aromatic","odorless, visual, tasteless","Latin olfacere, smell."
120,Adversity,noun,Serious difficulty or misfortune.,She learned patience through years of adversity.,"hardship, misfortune, trouble","prosperity, comfort, ease","Latin adversus, turned against."
121,Notorious,adjective,Famous for something bad.,The road is notorious for accidents during winter storms.,"infamous, disreputable, scandalous","respected, reputable, honorable","Latin notus, known."
122,Adept,adjective,Very skilled or proficient.,He became adept at solving problems under pressure.,"skilled, proficient, expert","inept, clumsy, unskilled","Latin adeptus, attained."
123,Irk,verb,To annoy or irritate.,It began to irk her when people arrived late every week.,"annoy, irritate, vex","please, soothe, delight","Middle English irken, weary or annoy."
124,Disposition,noun,A person's usual mood or tendency.,His cheerful disposition made the long trip easier.,"temperament, nature, tendency","hostility, opposition, reluctance","Latin dis-, apart + ponere, place."
125,Cache,noun,A hidden store of valuable things.,The hikers found a cache of emergency supplies.,"store, reserve, stockpile","shortage, lack, deficit","French cacher, hide."
126,Refraction,noun,The bending of light or waves as they pass through a material.,The prism showed refraction by splitting the light.,"bending, deflection, deviation","straightening, alignment, directness","Latin refringere, break back."
127,Wrangle,verb,To argue noisily or for a long time.,The neighbors wrangled over the parking space.,"argue, quarrel, dispute","agree, reconcile, settle","Low German wrangeln, wrestle or argue."
128,Impeccable,adjective,Flawless or without mistakes.,Her report was organized with impeccable care.,"flawless, faultless, perfect","flawed, imperfect, defective","Latin in-, not + peccare, sin."
129,Infallible,adjective,Incapable of making mistakes or being wrong.,No prediction model is truly infallible.,"unerring, certain, flawless","fallible, mistaken, unreliable","Latin in-, not + fallere, deceive or fail."
130,Impel,verb,"To drive, urge, or force someone to act.",Concern for his family impelled him to work harder.,"drive, urge, compel","restrain, deter, discourage","Latin in-, toward + pellere, drive."
131,Indelible,adjective,"Impossible to remove, forget, or erase.",The trip left an indelible memory in her mind.,"permanent, lasting, unforgettable","temporary, erasable, forgettable","Latin in-, not + delere, erase."
132,Hubris,noun,Excessive pride or self-confidence.,The founder's hubris made him ignore useful warnings.,"arrogance, pride, conceit","humility, modesty, meekness","Greek hybris, pride or outrage."
133,Valor,noun,"Great courage, especially in danger.",The medal honored her valor during the rescue.,"courage, bravery, heroism","cowardice, fear, timidity","Latin valor, worth or courage."
134,Piety,noun,Religious devotion or dutiful respect.,His piety was visible in daily acts of service.,"devotion, reverence, faithfulness","impiety, irreverence, disrespect","Latin pietas, dutifulness."
135,Remit,verb,"To send payment, cancel a debt, or refer a matter.",Please remit the balance by the end of the month.,"send, pay, refer","retain, withhold, keep","Latin re-, back + mittere, send."
136,Unkempt,adjective,"Messy, untidy, or not cared for.",The abandoned garden looked unkempt after months of rain.,"messy, disheveled, untidy","neat, tidy, groomed","un- + kempt; Old English cemban, comb."
137,Periodical,noun,A magazine or journal published at regular intervals.,The library keeps each scientific periodical on one shelf.,"journal, magazine, publication","book, monograph, one-off","Greek periodos, going around; cycle."
138,Castigate,verb,To criticize or punish severely.,The editor castigated the article for its errors.,"rebuke, scold, chastise","praise, commend, approve","Latin castigare, correct or punish."
139,Imminent,adjective,About to happen very soon.,Dark clouds warned that a storm was imminent.,"impending, approaching, near","distant, unlikely, remote","Latin imminere, overhang or threaten."
140,Exemplify,verb,To serve as a clear example of something.,Her patience exemplifies strong leadership.,"illustrate, embody, represent","contradict, obscure, misrepresent","Latin exemplum, example + facere, make."
141,Nebulous,adjective,"Vague, unclear, or cloudy.",The proposal was too nebulous to approve.,"vague, hazy, indistinct","clear, definite, precise","Latin nebula, mist or cloud."
142,Precarious,adjective,Dangerously unstable or uncertain.,The ladder stood in a precarious position.,"unstable, risky, insecure","secure, stable, safe","Latin precarius, obtained by prayer."
143,Reprisal,noun,An act of retaliation for an injury or offense.,The village feared reprisals after the protest.,"retaliation, revenge, counterattack","forgiveness, pardon, mercy","Old French repris, taken back."
144,Stipulate,verb,To demand or specify as a condition.,The contract stipulates payment within ten days.,"specify, require, demand","waive, ignore, permit","Latin stipulari, demand a promise."
145,Voluminous,adjective,"Very large, full, or containing much.",The lawyer carried voluminous files into court.,"large, extensive, ample","small, brief, scant","Latin volumen, roll or volume."
146,Pragmatic,adjective,Practical and focused on results.,The team chose a pragmatic solution that worked quickly.,"practical, realistic, sensible","idealistic, impractical, unrealistic","Greek pragma, deed or matter."
147,Stagnate,verb,"To stop developing, moving, or progressing.","Without new investment, the project began to stagnate.","stall, languish, idle","advance, develop, progress","Latin stagnum, standing water."
148,Ascertain,verb,To find out or determine with certainty.,The inspector tried to ascertain the cause of the leak.,"determine, verify, discover","guess, overlook, ignore","Old French acertener, make certain."
149,Dissolution,noun,"The ending, breaking apart, or disintegration of something.",The treaty led to the dissolution of the alliance.,"breakup, termination, disintegration","formation, union, creation","Latin dissolvere, loosen apart."
150,Dignitary,noun,A person with high rank or important office.,Several foreign dignitaries attended the ceremony.,"official, notable, leader","commoner, subordinate, nobody","Latin dignitas, worthiness."
151,Quixotic,adjective,Idealistic in an impractical or unrealistic way.,His quixotic plan aimed to rebuild the town in a week.,"idealistic, romantic, impractical","practical, realistic, sensible","From Don Quixote, idealistic dreamer."
152,Relegate,verb,To assign to a lower or less important position.,The report relegated the issue to a footnote.,"downgrade, demote, consign","promote, elevate, advance","Latin re-, back + legare, send."
153,Penchant,noun,A strong liking or tendency.,She has a penchant for solving difficult puzzles.,"liking, inclination, preference","aversion, dislike, distaste","French penchant, inclination."
154,Prowess,noun,Exceptional skill or ability.,The athlete's prowess impressed even her rivals.,"skill, mastery, expertise","weakness, ineptitude, inability","Old French proece, valor or bravery."
155,Reticent,adjective,Reserved or unwilling to speak freely.,He was reticent about his plans for the company.,"reserved, restrained, silent","talkative, open, forthcoming","Latin reticere, keep silent."
156,Requisite,adjective,Necessary for a particular purpose.,The license is requisite for operating the equipment.,"necessary, required, essential","optional, unnecessary, extra","Latin requirere, seek or require."
157,Preposterous,adjective,Absurd or contrary to reason.,The claim was so preposterous that no one believed it.,"absurd, ridiculous, outrageous","reasonable, plausible, sensible","Latin prae, before + posterus, after."
158,Coup,noun,"A sudden, successful move or seizure of power.",Winning the contract was a major coup for the small firm.,"triumph, takeover, stroke","failure, defeat, loss","French coup, blow or stroke."
159,Daunting,adjective,Intimidating or seeming difficult to deal with.,The mountain looked daunting from the base camp.,"intimidating, formidable, discouraging","easy, inviting, encouraging","Middle English daunten, tame or subdue."
160,Dispel,verb,To drive away or make disappear.,The clear evidence dispelled the rumor.,"scatter, eliminate, banish","gather, create, intensify","Latin dis-, apart + pellere, drive."
161,Precipitous,adjective,Very steep or suddenly happening.,The trail ended at a precipitous cliff.,"steep, abrupt, sheer","gradual, gentle, level","Latin praeceps, headlong or steep."
162,Ostensible,adjective,"Stated or appearing to be true, but possibly not.",His ostensible reason for leaving was illness.,"apparent, supposed, outward","actual, real, genuine","Latin ostendere, show."
163,Perfunctory,adjective,Done with little care or interest.,She gave a perfunctory nod and returned to work.,"routine, careless, mechanical","careful, thorough, attentive","Latin perfungi, get through or perform."
164,Prevail,verb,"To succeed, win, or prove more powerful.",Justice can prevail when evidence is clear.,"triumph, succeed, win","fail, lose, yield","Latin praevalere, be stronger."
165,Recalcitrant,adjective,Stubbornly resistant to authority or control.,The recalcitrant student refused to follow instructions.,"defiant, stubborn, unruly","obedient, compliant, docile","Latin re-, back + calcitrare, kick."
166,Rebuff,verb,To reject someone or something bluntly.,The committee rebuffed the request for more funding.,"reject, snub, repel","accept, welcome, embrace","Italian ribuffare, repel or rebuke."
167,Onslaught,noun,A fierce attack or overwhelming rush.,The team endured an onslaught of criticism online.,"attack, assault, barrage","retreat, defense, withdrawal","English on + slaught, attack or strike."
168,Banter,noun,"Playful, teasing conversation.",Their friendly banter made the long shift more pleasant.,"teasing, joking, repartee","seriousness, silence, hostility",Origin obscure; 17th-century English playful talk.
169,Foment,verb,To stir up or encourage trouble or unrest.,The speech was accused of fomenting anger.,"incite, provoke, stir","calm, suppress, discourage","Latin fovere, warm; fomentum, warm compress."
170,Perpetual,adjective,Continuing forever or happening repeatedly.,The old clock seemed to make a perpetual ticking sound.,"endless, constant, continual","temporary, brief, occasional","Latin perpetuus, continuous."
